Time: 51.7074861526 seconds, RAM: 36.34765625 Mb.
Time: 51.9940860271 seconds, RAM: 36.23046875 Mb.
Time: 50.4756231308 seconds, RAM: 36.28515625 Mb.
Time: 54.5205509663 seconds, RAM: 36.140625 Mb.
Time: 51.9682528973 seconds, RAM: 36.3203125 Mb.
Time: 52.1336100101 seconds, RAM: 36.17578125 Mb.
Time: 52.3402991295 seconds, RAM: 36.1640625 Mb.
Time: 51.4070520401 seconds, RAM: 36.3203125 Mb.
Time: 52.2517569065 seconds, RAM: 36.34765625 Mb.
Time: 52.356564045 seconds, RAM: 36.234375 Mb.
Time: 50.729968071 seconds, RAM: 36.07421875 Mb.
Time: 52.5078151226 seconds, RAM: 36.10546875 Mb.
Time: 51.1493618488 seconds, RAM: 36.24609375 Mb.
Time: 52.569288969 seconds, RAM: 36.0546875 Mb.
Time: 52.9322178364 seconds, RAM: 36.3828125 Mb.
Time: 52.1618421078 seconds, RAM: 36.359375 Mb.
Time: 55.003868103 seconds, RAM: 36.1875 Mb.
Time: 52.6485631466 seconds, RAM: 36.34375 Mb.
Time: 49.8092348576 seconds, RAM: 36.3203125 Mb.
Time: 50.4951050282 seconds, RAM: 36.328125 Mb.
Time: 49.9304909706 seconds, RAM: 36.26953125 Mb.
Time: 53.0262432098 seconds, RAM: 36.5 Mb.
Time: 53.9079518318 seconds, RAM: 36.35546875 Mb.
Time: 52.5744018555 seconds, RAM: 36.37890625 Mb.
Time: 52.2869150639 seconds, RAM: 36.4296875 Mb.
Time: 52.02333498 seconds, RAM: 36.21484375 Mb.
Time: 52.7161638737 seconds, RAM: 36.14453125 Mb.
Time: 52.560407877 seconds, RAM: 36.2265625 Mb.
Time: 53.664306879 seconds, RAM: 36.1796875 Mb.
Time: 51.4808580875 seconds, RAM: 36.33203125 Mb.
