Time: 57.0878038406 seconds, RAM: 36.359375 Mb.
Time: 56.1307229996 seconds, RAM: 36.4765625 Mb.
Time: 52.6636989117 seconds, RAM: 36.296875 Mb.
Time: 48.1546680927 seconds, RAM: 36.2734375 Mb.
Time: 50.1280889511 seconds, RAM: 36.19921875 Mb.
Time: 50.2508530617 seconds, RAM: 36.34765625 Mb.
Time: 51.2225539684 seconds, RAM: 36.4296875 Mb.
Time: 50.5738179684 seconds, RAM: 36.39453125 Mb.
Time: 50.3850908279 seconds, RAM: 36.1875 Mb.
Time: 52.2350258827 seconds, RAM: 36.37109375 Mb.
Time: 49.9450409412 seconds, RAM: 36.375 Mb.
Time: 50.9865238667 seconds, RAM: 36.3125 Mb.
Time: 49.6942698956 seconds, RAM: 36.203125 Mb.
Time: 50.3601579666 seconds, RAM: 36.23828125 Mb.
Time: 49.9270980358 seconds, RAM: 36.44140625 Mb.
Time: 50.8304970264 seconds, RAM: 36.43359375 Mb.
Time: 51.3294482231 seconds, RAM: 36.53125 Mb.
Time: 50.6852099895 seconds, RAM: 36.3828125 Mb.
Time: 50.7902069092 seconds, RAM: 36.24609375 Mb.
Time: 50.9701280594 seconds, RAM: 36.3984375 Mb.
Time: 51.858932972 seconds, RAM: 36.35546875 Mb.
Time: 51.4831740856 seconds, RAM: 36.31640625 Mb.
Time: 50.4144849777 seconds, RAM: 36.23828125 Mb.
Time: 52.1908721924 seconds, RAM: 36.34375 Mb.
Time: 51.7811439037 seconds, RAM: 36.33203125 Mb.
Time: 51.8534288406 seconds, RAM: 36.6796875 Mb.
Time: 50.8114330769 seconds, RAM: 36.40234375 Mb.
Time: 50.5526719093 seconds, RAM: 36.56640625 Mb.
Time: 51.7288520336 seconds, RAM: 36.4140625 Mb.
Time: 51.5342111588 seconds, RAM: 36.3828125 Mb.
